"","voted_for","ABC","CBS","NBC","CNN","Fox_News","MSNBC","PBS","Other","TV_type","Party","voted_for_binary"
"304","Trump","No","No","Yes","No","Yes","No","No","No","Both","Republican",0
"305","Trump","Yes","No","No","No","No","No","No","No","Both","Democrat",0
"306","Biden","Yes","No","Yes","Yes","Yes","No","No","No","Both","Democrat",1
"307","Biden","Yes","Yes","No","No","No","No","Yes","No","Both","Democrat",1
"308","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Independent",1
"309","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"310","Biden","Yes","No","No","Yes","Yes","Yes","No","No","National Newscast","Democrat",1
"311","Trump","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Both","Republican",0
"312","Biden","No","Yes","No","Yes","Yes","Yes","No","No","Both","Other",1
"313","Trump","No","No","No","No","Yes","No","No","Yes","Both","Republican",0
"314","Biden","No","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"315","Biden","No","Yes","Yes","Yes","Yes","Yes","No","No","National Newscast","Democrat",1
"316","Biden","Yes","No","No","No","No","No","No","No","Both","Democrat",1
"317","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"318","Trump","Yes","Yes","Yes","No","No","No","Yes","Yes","Both","Republican",0
"319","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"320","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"321","Trump","No","No","No","No","No","Yes","No","No","Both","Republican",0
"322","Biden","No","No","Yes","No","No","No","No","No","National Newscast","Independent",1
"323","Biden","No","No","Yes","No","No","No","No","No","Both","Democrat",1
"324","Biden","No","No","No","Yes","No","Yes","No","No","Both","Independent",1
"325","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"326","Trump","No","Yes","No","No","Yes","No","No","No","Both","Independent",0
"327","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Democrat",1
"328","Biden","No","Yes","No","Yes","No","Yes","No","No","National Newscast","Independent",1
"329","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"330","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Republican",0
"331","Biden","Yes","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"332","Biden","No","No","No","Yes","No","No","No","No","National Newscast","Democrat",1
"333","Biden","Yes","No","No","No","No","No","Yes","No","Both","Independent",1
"334","Trump","No","No","No","Yes","Yes","Yes","No","No","Both","Republican",0
"335","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"336","Biden","Yes","No","No","Yes","Yes","Yes","No","No","National Newscast","Democrat",1
"337","Biden","Yes","No","No","Yes","No","Yes","No","No","Both","Democrat",1
"338","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Republican",0
"339","Trump","No","No","No","No","Yes","No","No","No","Both","Republican",0
"340","Biden","Yes","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"341","Biden","No","Yes","No","No","No","No","No","No","Both","Independent",1
"342","Biden","No","No","Yes","Yes","Yes","No","No","No","Both","Republican",1
"343","Biden","No","No","No","Yes","No","Yes","No","No","Both","Independent",1
"344","Trump","No","No","No","Yes","No","No","No","No","National Newscast","Republican",0
"345","Trump","No","No","No","No","Yes","No","No","Yes","National Newscast","Independent",0
"346","Biden","No","No","Yes","No","No","No","No","No","National Newscast","Independent",1
"347","Biden","Yes","Yes","Yes","Yes","No","No","No","No","Both","Independent",1
"348","Biden","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Both","Independent",1
"349","Biden","No","No","Yes","Yes","No","No","No","No","Both","Democrat",1
"350","Trump","No","No","Yes","Yes","Yes","No","No","No","National Newscast","Independent",0
"351","Trump","No","No","No","No","Yes","No","No","No","Both","Democrat",0
"352","Biden","No","Yes","No","Yes","No","No","No","No","Both","Democrat",1
"353","Biden","No","No","Yes","No","No","Yes","No","No","Both","Democrat",1
"354","Biden","No","Yes","Yes","Yes","Yes","No","No","No","Both","Democrat",1
"355","Biden","No","Yes","Yes","No","No","No","Yes","Yes","Both","Democrat",1
"356","Trump","No","No","No","No","Yes","No","No","No","National Newscast","Independent",0
"357","Biden","No","No","Yes","Yes","Yes","Yes","No","No","National Newscast","Independent",1
"358","Biden","No","No","No","No","No","Yes","No","No","National Newscast","Democrat",1
